T26,Population employed in research and development (R&D),,,,,
31,Azerbaijan,2017,R & D personnel: Other supporting staff - women (number in full-time equivalent),1325.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
48,Bahrain,2014,R & D personnel: Total (number in full-time equivalent),562.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
48,Bahrain,2014,R & D personnel: Researchers - total (number in full-time equivalent),493.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
48,Bahrain,2014,R & D personnel: Researchers - women (number in full-time equivalent),205.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
48,Bahrain,2014,R & D personnel: Technicians - total (number in full-time equivalent),23.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
48,Bahrain,2014,R & D personnel: Technicians - women (number in full-time equivalent),12.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
48,Bahrain,2014,R & D personnel: Other supporting staff - total (number in full-time equivalent),94.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
48,Bahrain,2014,R & D personnel: Other supporting staff - women (number in full-time equivalent),16.0000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
112,Belarus,2005,R & D personnel: Total (number in full-time equivalent),30222.0000,Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
112,Belarus,2005,R & D personnel: Researchers - total (number in full-time equivalent),18267.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
112,Belarus,2005,R & D personnel: Researchers - women (number in full-time equivalent),7897.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
112,Belarus,2005,R & D personnel: Technicians - total (number in full-time equivalent),2112.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
112,Belarus,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),5763.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
112,Belarus,2010,R & D personnel: Total (number in full-time equivalent),31712.0000,Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
112,Belarus,2010,R & D personnel: Researchers - total (number in full-time equivalent),19879.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
112,Belarus,2010,R & D personnel: Researchers - women (number in full-time equivalent),8392.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
112,Belarus,2010,R & D personnel: Technicians - total (number in full-time equivalent),2248.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
112,Belarus,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),9585.0000,Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
112,Belarus,2017,R & D personnel: Total (number in full-time equivalent),26483.0000,Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
112,Belarus,2017,R & D personnel: Researchers - total (number in full-time equivalent),17089.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
112,Belarus,2017,R & D personnel: Researchers - women (number in full-time equivalent),6785.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
112,Belarus,2017,R & D personnel: Technicians - total (number in full-time equivalent),1691.0000,Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
112,Belarus,2017,R & D personnel: Other supporting staff - total (number in full-time equivalent),7703.0000,Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
56,Belgium,2005,R & D personnel: Total (number in full-time equivalent),53517.0970,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
56,Belgium,2005,R & D personnel: Researchers - total (number in full-time equivalent),33146.0140,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
56,Belgium,2005,R & D personnel: Researchers - women (number in full-time equivalent),9769.3410,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
56,Belgium,2005,R & D personnel: Technicians - total (number in full-time equivalent),15046.6000,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
56,Belgium,2005,R & D personnel: Technicians - women (number in full-time equivalent),4585.2580,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
56,Belgium,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),5324.4830,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
56,Belgium,2005,R & D personnel: Other supporting staff - women (number in full-time equivalent),2702.2270,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
