T10,Expenditure on health,,,,,
112,Belarus,2000,Domestic general government health expenditure (% of total government expenditure),12.1293,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
112,Belarus,2005,Domestic general government health expenditure (% of total government expenditure),10.0517,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
112,Belarus,2010,Domestic general government health expenditure (% of total government expenditure),8.6853,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
112,Belarus,2015,Domestic general government health expenditure (% of total government expenditure),8.8264,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
112,Belarus,2016,Domestic general government health expenditure (% of total government expenditure),10.3065,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
112,Belarus,2017,Domestic general government health expenditure (% of total government expenditure),10.6191,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
56,Belgium,2000,Current health expenditure (% of GDP),7.9420,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
56,Belgium,2005,Current health expenditure (% of GDP),9.0070,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
56,Belgium,2010,Current health expenditure (% of GDP),9.9747,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
56,Belgium,2015,Current health expenditure (% of GDP),10.2801,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
56,Belgium,2016,Current health expenditure (% of GDP),10.3045,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
56,Belgium,2017,Current health expenditure (% of GDP),10.3387,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
56,Belgium,2000,Domestic general government health expenditure (% of total government expenditure),12.0672,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
56,Belgium,2005,Domestic general government health expenditure (% of total government expenditure),13.3943,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
56,Belgium,2010,Domestic general government health expenditure (% of total government expenditure),14.5351,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
56,Belgium,2015,Domestic general government health expenditure (% of total government expenditure),14.8417,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
56,Belgium,2016,Domestic general government health expenditure (% of total government expenditure),14.9631,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
56,Belgium,2017,Domestic general government health expenditure (% of total government expenditure),15.3139,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
84,Belize,2000,Current health expenditure (% of GDP),4.1409,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
84,Belize,2005,Current health expenditure (% of GDP),4.6858,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
84,Belize,2010,Current health expenditure (% of GDP),5.7644,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
84,Belize,2015,Current health expenditure (% of GDP),5.9032,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
84,Belize,2016,Current health expenditure (% of GDP),6.0970,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
84,Belize,2017,Current health expenditure (% of GDP),5.6428,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
84,Belize,2000,Domestic general government health expenditure (% of total government expenditure),6.5888,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
84,Belize,2005,Domestic general government health expenditure (% of total government expenditure),9.4935,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
84,Belize,2010,Domestic general government health expenditure (% of total government expenditure),13.1077,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
84,Belize,2015,Domestic general government health expenditure (% of total government expenditure),11.8130,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
84,Belize,2016,Domestic general government health expenditure (% of total government expenditure),11.7977,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
84,Belize,2017,Domestic general government health expenditure (% of total government expenditure),10.9910,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
204,Benin,2000,Current health expenditure (% of GDP),4.2300,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
204,Benin,2005,Current health expenditure (% of GDP),4.0127,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
204,Benin,2010,Current health expenditure (% of GDP),4.0898,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
204,Benin,2015,Current health expenditure (% of GDP),3.9918,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
204,Benin,2016,Current health expenditure (% of GDP),3.8556,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
204,Benin,2017,Current health expenditure (% of GDP),3.7186,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
204,Benin,2000,Domestic general government health expenditure (% of total government expenditure),5.1598,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
204,Benin,2005,Domestic general government health expenditure (% of total government expenditure),4.8298,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
204,Benin,2010,Domestic general government health expenditure (% of total government expenditure),5.1466,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
204,Benin,2015,Domestic general government health expenditure (% of total government expenditure),3.2251,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
204,Benin,2016,Domestic general government health expenditure (% of total government expenditure),3.7248,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed January 2020."
